job title,company name,location,skills,links
Python Developer,GetTechForce.com -,"Cairo, Egypt ","Full TimeWork From HomeExperienced  
3+ Yrs of Exp  IT/Software Development 
 Engineering - Telecom/Technology 
 Engineering - Other  
Flask  Python  Software Development 
 Computer Science  Information Technology (IT) 
 Frameworks  Kubernetes",https://wuzzuf.net//jobs/p/BfvVVblCaMEg-Python-Developer-GetTechForce-com-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level  1 - 2 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Odoo  MVC  Information Technology (IT)  Computer Science  Python  Software Development  CSS  Design,https://wuzzuf.net//jobs/p/KSVJ4un64xm6-Python-Developer-OdooTec-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectExperienced  2+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Django  Flask  Python Scripting  Web Scraping  WWeb Scraping  CI  Computer Science,https://wuzzuf.net//jobs/p/VRTUIy6Cz0Yn-Python-Developer-FinTech-Bright-Creations-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Django Developer,Confidential -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced  2+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  JavaScript  Django  Python  Software Development  PostgreSQL  Computer Science  Engineering  Git,https://wuzzuf.net//jobs/p/YX9fNGWWWV9P-Python-Django-Developer-Dubai-United-Arab-Emirates?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Django Developer,Mentor Seven -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level  1+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Django  Python  Python Django  Software Development  Information Technology (IT)  ORM  Telecom Engineering,https://wuzzuf.net//jobs/p/HlE4ETTJSs9i-Python-Django-Developer-Mentor-Seven-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeEntry Level  1+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  SQL  MySQL  RESTful  JavaScript  Django  Flask  Docker,https://wuzzuf.net//jobs/p/0yvTijkcosNQ-Junior-Python-Developer-RDI-Giza-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Developer - Internship,TMentors -,"Maadi, Cairo, Egypt ",InternshipStudent  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Python  Software Development  RPA  Data Science  AI  Machine Learning  Automation,https://wuzzuf.net//internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Engineer - Python,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced  4+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Agile  APIs  AWS  Computer Science  Git  Linux  Python  REST,https://wuzzuf.net//jobs/p/EGd9bPLppMK6-Senior-Backend-Engineer---Python-Trufla-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python (Django) Engineer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced  3 - 20 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Development  Computer Science  Python  Information Technology (IT)  Software Development  Web Applications  Software  Django,https://wuzzuf.net//jobs/p/VYoLHkdh5cpA-Senior-Python-Django-Engineer-GetTechForce-com-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full TimeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Django  Flask  RESTful API  Software Development  Information Technology (IT)  Software Engineering  Frameworks,https://wuzzuf.net//jobs/p/o1CizTuLGoFT-Python-Developer-Bydotpy-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Engineer- Core API.,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeExperienced  5 - 7 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Agile  API  APIs  Computer Science  Git  MySQL  Information Technology (IT)  Python,https://wuzzuf.net//jobs/p/qljBOdL2vJce-Senior-Python-Backend-Engineer--Core-API-Twerlo-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Engineer Core DB,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeExperienced  5 - 7 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  API  MySQL  Software Development  backend  Computer Science  Python  SQL  Database,https://wuzzuf.net//jobs/p/aMgMYUHusAzy-Senior-Python-Backend-Engineer-Core-DB-Twerlo-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Lead Python Developer,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeManager  5 - 7 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  Agile  Computer Science  Design  Development  Engineering  Information Technology (IT)  Programming,https://wuzzuf.net//jobs/p/T9aZCc4VR1Wq-Lead-Python-Developer-Twerlo-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Python Or Electron Framework Developer (Knowledge Survivor - Desktop Application),ItsTime -,"Oakville, Canada ",Part TimeFreelance / ProjectWork From HomeExperienced  2+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  UI  Computer Science  Information Technology (IT)  Software Development  GTK  English  Software Engineering,https://wuzzuf.net//jobs/p/6kmqfkoQ34Fi-Python-Or-Electron-Framework-Developer-Knowledge-Survivor---Desktop-Application-ItsTime-Oakville-Canada?o=15&l=sp&t=sj&a=python|search-v3|hpb
